docId,url
91,concordia.ca/current-students/registration/credit-loads/index.html
92,concordia.ca/current-students/forms-and-procedures/transfer-credits/index.html
93,concordia.ca/current-students/forms-and-procedures/expectation-of-originality/index.html
94,concordia.ca/current-students/forms-and-procedures/student-requests/index.html
95,concordia.ca/current-students/undergraduate-program-requirements/index.html
96,concordia.ca/current-students/undergraduate-program-requirements/course-sequences/index.html
97,concordia.ca/current-students/undergraduate-program-requirements/course-sequences/mechanical-engineering/index.html
98,concordia.ca/current-students/undergraduate-program-requirements/course-sequences/computer-engineering/index.html
99,concordia.ca/current-students/undergraduate-program-requirements/course-sequences/computer-science/index.html
100,concordia.ca/current-students/undergraduate-program-requirements/course-sequences/civil-engineering/index.html
101,concordia.ca/current-students/undergraduate-program-requirements/course-sequences/software-engineering/index.html
102,concordia.ca/current-students/undergraduate-program-requirements/course-sequences/industrial-engineering/index.html
103,concordia.ca/current-students/undergraduate-program-requirements/course-sequences/building-engineering/index.html
104,concordia.ca/current-students/undergraduate-program-requirements/course-sequences/electrical-engineering/index.html
105,concordia.ca/current-students/undergraduate-program-requirements/grade-point-average/index.html
106,concordia.ca/current-students/undergraduate-program-requirements/writing-test/index.html
107,concordia.ca/current-students/undergraduate-program-requirements/capstone-projects/index.html
108,concordia.ca/current-students/undergraduate-program-requirements/graduation/index.html
109,concordia.ca/current-students/international-exchanges/index.html
110,concordia.ca/Design/research/index.html
111,concordia.ca/Design/resources/index.html
112,concordia.ca/Design/news-and-events/index.html
113,concordia.ca/Design/future-students/visiting-and-exchange-students/index.html
114,concordia.ca/Design/future-students/undergraduate-education/index.html
115,concordia.ca/Design/future-students/graduate-education/scholarships/index.html
116,concordia.ca/Design/future-students/graduate-education/programs/index.html
117,concordia.ca/Design/future-students/graduate-education/programs/building-civil-and-environmental-engineering/index.html
118,concordia.ca/Design/future-students/graduate-education/programs/service-engineering-and-network-management/index.html
119,concordia.ca/Design/future-students/graduate-education/programs/electrical-and-computer-engineering/index.html
120,concordia.ca/Design/future-students/graduate-education/programs/computer-science/index.html
121,concordia.ca/Design/future-students/graduate-education/programs/aerospace-engineering/index.html
122,concordia.ca/Design/future-students/graduate-education/programs/mechanical-and-industrial-engineering/index.html
123,concordia.ca/Design/future-students/graduate-education/programs/software-engineering/index.html
124,concordia.ca/Design/future-students/graduate-education/programs/information-systems-security/index.html
125,concordia.ca/Design/future-students/graduate-education/programs/quality-systems-engineering/index.html
126,concordia.ca/Design/future-students/graduate-education/programs/3d-graphics-and-game-development/index.html
127,concordia.ca/Design/future-students/graduate-education/applying-to-encs-grad/index.html
128,concordia.ca/Design/administration-and-governance/index.html
129,concordia.ca/Design/administration-and-governance/administrative-units/student-academic-services/index.html
130,concordia.ca/Design/administration-and-governance/industrial-advisory-council/index.html
131,concordia.ca/Design/current-students/newly-admitted-students/index.html
132,concordia.ca/Design/current-students/graduate-program-requirements/index.html
133,concordia.ca/Design/current-students/industrial-experience/index.html
134,concordia.ca/Design/current-students/registration/index.html
135,concordia.ca/Design/current-students/forms-and-procedures/index.html
136,concordia.ca/Design/current-students/undergraduate-program-requirements/index.html
137,concordia.ca/Design/current-students/international-exchanges/index.html
138,concordia.ca/Design/policies-and-procedures/index.html
139,concordia.ca/policies-and-procedures/academic-personnel/critical-path/index.html
140,concordia.ca/policies-and-procedures/academic-personnel/sabbaticals/index.html
141,concordia.ca/policies-and-procedures/academic-personnel/deadlines/index.html
142,concordia.ca/policies-and-procedures/academic-personnel/contract-renewals/index.html
143,concordia.ca/policies-and-procedures/academic-personnel/promotion-to-associate/index.html
144,concordia.ca/policies-and-procedures/academic-personnel/promotion-to-professor/index.html
145,concordia.ca/policies-and-procedures/academic-personnel/applying-for-tenure/index.html
146,concordia.ca/policies-and-procedures/academic-personnel/new-employees/index.html
147,concordia.ca/policies-and-procedures/budget-and-finance/travel/index.html
148,concordia.ca/policies-and-procedures/budget-and-finance/financial-support-for-faculty/index.html
149,concordia.ca/policies-and-procedures/budget-and-finance/professional-development-allowance/index.html
150,concordia.ca/policies-and-procedures/budget-and-finance/purchasing/index.html
151,concordia.ca/policies-and-procedures/research-support/index.html
152,concordia.ca/policies-and-procedures/research-support/gssp/index.html
153,concordia.ca/policies-and-procedures/research-support/workshops/index.html
154,concordia.ca/policies-and-procedures/research-support/cara-funds/index.html
155,concordia.ca/policies-and-procedures/research-support/external-funding/index.html
156,concordia.ca/policies-and-procedures/research-support/start-up-funds/index.html
157,concordia.ca/policies-and-procedures/teaching/application-for-part-time-teaching/index.html
158,concordia.ca/policies-and-procedures/teaching/teaching-assistants/index.html
159,concordia.ca/policies-and-procedures/teaching/teaching-assistants/oral-proficiency-test/index.html
160,concordia.ca/policies-and-procedures/teaching/part-time-instructors/index.html
161,concordia.ca/policies-and-procedures/teaching/professional-engineering-license/index.html
162,concordia.ca/policies-and-procedures/teaching/teaching-excellence-award/index.html
163,concordia.ca/policies-and-procedures/teaching/part-time-faculty/index.html
164,concordia.ca/policies-and-procedures/teaching/full-time-faculty/index.html
